zipcode,longitude,latitude,is_for_sale,property_type,bedroom,bathroom,size,list_price,last_update
91905,-116.310501,32.677414,false,,3.05,0,0,40000,1.481960646571731e+09
91905,-116.32001,32.66288,false,,40.06,0,0,99000,1.482049318559691e+09
91905,-116.282188,32.720188,false,,40,0,0,127000,1.482049314694394e+09
91908,-117.021213,32.66924,false,,17,0,0,195000,1.482047103072104e+09
92139,-117.023622,32.695078,true,Single Family,4,3,1649,475000,1.482047879915007e+09
91911,-117.025132,32.62312,true,Single Family,1,1,720,230000,1.482047995223283e+09
91910,-117.051239,32.629213,true,Single Family,4,3,1961,565000,1.482047111071052e+09
92102,-117.099219,32.714365,true,Condo,2,1,760,179000,1.48204713684477e+09
92114,-117.07799,32.697947,true,Single Family,4,2,1720,375000,1.482047758612674e+09
91911,-117.072719,32.608063,true,Single Family,3,2,1568,399900,1.482044702551498e+09
91915,-116.958297,32.620078,true,Condo,2,2,1579,359900,1.482047999192095e+09
91977,-117.008309,32.747964,true,Single Family,3,2,1814,575000,1.482047140852938e+09
91906,-116.461146,32.616428,true,Single Family,3,2,1432,259000,1.482039934150567e+09
91906,-116.460426,32.617987,true,Single Family,3,2,1432,245000,1.481960697405654e+09
91906,-116.487233,32.667358,true,Single Family,2,1,983,275000,1.482039942344657e+09
91906,-116.429324,32.630755,true,Mobile / Manufactured,2,2,800,200000,1.482039938152278e+09
91906,-116.482683,32.672005,true,Single Family,4,2,1866,380000,1.482039946335427e+09
91906,-116.459395,32.619208,true,Single Family,4,2,1879,299999,1.4820399503845e+09
91906,-116.460981,32.61637,false,,4,2,1879,,1.482039971187887e+09
91906,-116.414303,32.623589,false,,4,3,2283,,1.482039958483922e+09
91906,-116.50341,32.68069,true,Miscellaneous,0,2,1500,179000,1.482039975214244e+09
91906,-116.50995,32.682008,false,Single Family,1,1,744,,1.48204000805951e+09
91906,-116.511907,32.679606,false,Single Family,2,2,648,,1.482040047400186e+09
91906,-116.503578,32.678521,false,Single Family,2,1,1306,,1.482040024668461e+09
91906,-116.464224,32.621332,false,Single Family,3,2,1432,,1.482039995786967e+09
91906,-116.492884,32.645935,false,Single Family,3,2.5,2152,,1.482039979390107e+09
91906,-116.462793,32.62001,false,Single Family,4,2,1966,,1.482039983469632e+09
91906,-116.459256,32.618485,false,Single Family,4,2,1879,,1.482039991538715e+09
91906,-116.433049,32.632644,false,Single Family,2,1,1104,,1.482040028959243e+09
91906,-116.442089,32.64452,false,Mobile / Manufactured,0,0,1670,,1.482039999874158e+09
91906,-116.407335,32.626298,false,,3,2,1721,,1.482040016309069e+09
91906,-116.490815,32.672145,false,Single Family,3,2,1222,,1.482039987501357e+09
91906,-116.486528,32.657698,false,Single Family,4,2,2064,,1.482039954407468e+09
91906,-116.510804,32.678751,true,Single Family,3,2,1200,219900,1.482040020383701e+09
91906,-116.459171,32.615285,true,Single Family,6,1,720,179900,1.48204000398361e+09
91906,-116.459554,32.61766,true,Single Family,4,2,1966,299900,1.482040043313621e+09
91906,-116.510573,32.67973,true,Multi Family,5,3,1192,295000,1.482040012052248e+09
91906,-116.513787,32.684607,true,Mobile / Manufactured,4,3,2673,395000,1.481960795512157e+09
91910,-117.060635,32.640248,true,Single Family,5,4,3390,1.095e+06,1.48196080666614e+09
91910,-117.075962,32.637466,true,Single Family,3,2,1040,449000,1.481960810365385e+09
91910,-117.075125,32.637093,true,Single Family,3,2,1040,409000,1.481960814144047e+09
91910,-117.062116,32.631214,true,Single Family,3,2,1014,349900,1.481960817852886e+09
91910,-117.00354,32.642989,true,Single Family,3,3,1507,390000,1.481960821797075e+09
91910,-117.07092,32.634965,true,Single Family,3,1,884,395000,1.481960825606216e+09
91910,,,false,,0,0,0,159000,1.48196082928768e+09
91910,-117.004715,32.630035,false,Condo,2,2,1025,349999,1.481960833055147e+09
91910,-117.074072,32.632677,true,Single Family,2,1,904,400000,1.481960836878966e+09
91910,-117.057047,32.63345,true,Single Family,2,1,1016,415000,1.481960840594864e+09
91910,-117.003588,32.638523,true,Single Family,3,2,1446,550000,1.481960844413106e+09
91910,-117.068439,32.633284,true,Single Family,3,1,1146,415000,1.48196085450394e+09
91910,-117.067938,32.644322,true,,4,3,2787,745000,1.481960858378667e+09
91910,-117.067938,32.644322,false,,3,2,2787,,1.481960862037048e+09
91910,-117.067938,32.644322,true,Single Family,4,3,2787,745000,1.481960865722736e+09
91910,-117.082958,32.636806,false,Single Family,2,1,806,,1.481960869683837e+09
91910,-117.02428,32.629635,false,,0,2,1458,,1.481960873991304e+09
91910,-117.013057,32.650373,false,,4,2.5,1899,,1.481960877809897e+09
91910,-117.002091,32.643763,false,,3,2.5,1514,,1.481960881485981e+09
91910,-117.070905,32.644125,true,Single Family,3,2,1419,469900,1.481960885152588e+09
91910,-117.041354,32.626998,true,Condo,3,2,1186,305000,1.481960888857307e+09
91910,-117.040698,32.63274,true,Single Family,4,3,2233,499000,1.481960892620287e+09
91910,-117.071589,32.630809,true,,3,2,1224,459900,1.48196090098695e+09
91910,-117.071589,32.630809,false,Single Family,3,1,1224,,1.481960904677238e+09
91910,-117.087621,32.643319,true,Condo,2,3,1040,359900,1.481960908570127e+09
92101,-117.162494,32.708917,false,Condo,2,3,2085,2.34e+06,1.48204894903905e+09
91913,-116.972084,32.627388,true,Townhouse,3,3,1372,390000,1.482048003167163e+09
91912,-116.99232,32.674737,false,,0,0,0,,1.482040310175998e+09
91911,-117.056953,32.599373,true,Mobile / Manufactured,2,2,1224,89000,1.482037568895372e+09
91911,-117.057932,32.608882,true,Single Family,4,3,2300,499000,1.482037572997549e+09
91911,-117.045516,32.619241,true,Single Family,4,3,0,559750,1.482037577143824e+09
91911,-117.075975,32.615802,false,Single Family,6,2,2415,,1.482037635925741e+09
91911,-117.075975,32.615802,false,,6,2,2415,,1.482037640015471e+09
91911,-117.083935,32.612309,true,Single Family,3,2,958,320000,1.482037619055375e+09
91911,-117.049411,32.626278,false,Single Family,4,3,2062,475000,1.482037581253444e+09
91911,-117.045538,32.619289,true,Single Family,5,3,0,579500,1.482037610132019e+09
91911,-117.045471,32.619393,true,Single Family,5,3,0,577750,1.482037614614853e+09
91911,-117.045451,32.619346,true,Single Family,4,3,0,549500,1.482037623112803e+09
91911,-117.059118,32.610445,true,Single Family,3,2,1200,429000,1.482037605694589e+09
91911,-117.028913,32.607638,true,Condo,3,3,1274,320000,1.482037593676859e+09
91911,-117.052022,32.619504,true,Single Family,3,2,1460,439900,1.482037589577874e+09
91911,-117.055383,32.608148,false,,0,0,0,165000,1.482037627455505e+09
91911,-117.051175,32.610576,true,Single Family,3,2,1728,420000,1.482037631776013e+09
91911,-117.071746,32.602435,true,Mobile / Manufactured,2,2,1288,59900,1.482037648414495e+09
91911,-117.06818,32.611069,true,Mobile / Manufactured,2,2,840,65000,1.482037644259413e+09
91911,-117.058417,32.616085,false,,2,1,912,,1.481961060117368e+09
91911,-117.061773,32.609535,false,,3,1.5,1456,,1.481961063749184e+09
91911,-117.038858,32.59758,false,,4,2,1500,,1.481961067492997e+09
91911,-117.047283,32.593485,false,,4,2,1156,,1.481961071364232e+09
91911,-117.052752,32.61707,false,,3,2,1798,,1.481961080986173e+09
91911,-117.03723,32.592256,false,,2,1,836,,1.481961084669247e+09
91911,-117.053563,32.605085,true,Condo,2,2,1004,219900,1.481961088404245e+09
91914,-116.944306,32.647894,true,Single Family,5,4,3765,949900,1.482048499014482e+09
91914,-116.94293,32.657893,true,Single Family,4,4,3477,949900,1.482048506977226e+09
91914,-116.961309,32.666395,false,Single Family,6,4,3617,,1.481961099852063e+09
91914,-116.933747,32.672778,false,,5,4.5,3969,,1.482048510996221e+09
91914,-116.981906,32.669421,false,,2,2,1061,,1.482048529309857e+09
91914,-116.981906,32.669421,true,Townhouse,3,3,1372,410000,1.482048525231543e+09
91914,-116.963306,32.665515,true,Single Family,5,3,3031,735000,1.482048545808559e+09
91914,-116.959912,32.657733,true,Single Family,4,3,2010,619900,1.482048514963489e+09
91914,-116.973971,32.660344,true,Condo,2,3,1304,370000,1.482048541767476e+09
91914,-116.949486,32.660074,true,Single Family,5,4,3477,889000,1.48204853361923e+09
91914,-116.972085,32.658755,true,Townhouse,3,3,1390,389000,1.482048537734498e+09
91914,-116.941057,32.668511,true,Single Family,6,4,3915,979000,1.48204854975137e+09
91914,-116.944554,32.675766,false,,5,5.5,4287,,1.482048589728852e+09
91914,-116.94481,32.662599,false,Single Family,6,4.5,4371,,1.482048569686445e+09
91914,-116.941594,32.651321,false,Single Family,5,5.5,5074,,1.482048561764075e+09
91914,-116.94767,32.651967,false,Single Family,4,3.5,3509,,1.48204855378135e+09
91914,-116.944255,32.647345,false,Single Family,5,3.5,3765,,1.482048597691102e+09
91914,-116.942523,32.663859,false,Single Family,4,4.5,4262,,1.482048605699782e+09
91914,-116.966624,32.66426,false,Single Family,6,3.5,3280,,1.48204856574968e+09
91914,-116.947505,32.656419,false,Single Family,5,4.5,3856,,1.481961168829172e+09
91914,-116.94572,32.6563,false,Single Family,5,4.5,3681,,1.482048609992116e+09
91914,-116.947264,32.658804,false,,5,5,3681,,1.482048557797355e+09
91914,-116.946823,32.656402,false,Single Family,5,4.5,3856,,1.482048585611765e+09
91914,-116.972503,32.668321,false,Single Family,4,3.5,2557,,1.481961187083e+09
91914,-116.960109,32.658519,false,Single Family,3,2.5,1572,,1.481961190785708e+09
91914,-116.94455,32.650892,false,Single Family,5,3.5,3739,,1.481961194504114e+09
91913,-116.972367,32.629288,true,Single Family,3,3,1664,494900,1.482048007257343e+09
91913,-116.98282,32.614911,true,Single Family,3,4,2508,528580,1.482048011370222e+09
91913,-116.976931,32.650636,true,Single Family,2,2,1045,324000,1.482038182122957e+09
91913,-116.974411,32.654047,true,Condo,2,2,752,279900,1.482038177901577e+09
91913,-116.98198,32.618385,true,,5,4,3349,703900,1.482038234342298e+09
91913,-116.98198,32.618385,false,Single Family,5,4,3349,,1.482038238517775e+09
91913,-116.99145,32.615865,false,Townhouse,2,2,1098,326900,1.482038203859331e+09
91913,-116.993877,32.627422,true,Single Family,5,3,2103,585000,1.482038217692652e+09
91913,-116.97716,32.629154,true,Condo,3,2,1416,338000,1.482038199716349e+09
91913,-116.99073,32.624944,true,Single Family,3,3,1403,450000,1.48203824270406e+09
91913,-116.974682,32.616494,false,Single Family,4,3,2503,589900,1.481961244219164e+09
91913,-116.986084,32.635212,false,Single Family,3,3,1809,450500,1.482038221789259e+09
91913,-116.97633,32.617402,true,Single Family,5,3,3021,639000,1.48203819541493e+09
91913,-116.99145,32.615865,false,Townhouse,3,3,1778,386900,1.481961255514836e+09
91913,-116.973965,32.625093,true,Townhouse,4,4,1735,429000,1.48203825541375e+09
91913,-116.994051,32.615268,false,Townhouse,3,3,1635,394900,1.482038230286067e+09
91913,-116.99145,32.615865,false,Townhouse,3,3,1395,390900,1.482038225901741e+09
91913,-116.99145,32.615865,false,Townhouse,3,3,1431,390900,1.482038246856006e+09
91913,-116.99145,32.615865,false,Townhouse,3,3,1719,406900,1.482038263628568e+09
91913,-116.976042,32.633331,true,Single Family,3,3,1559,470000,1.482038251090293e+09
91913,-116.97866,32.631574,true,Condo,3,4,1529,370000,1.482038259529122e+09
91913,-116.973365,32.625346,true,Condo,2,3,1400,275000,1.48196128974968e+09
91913,-116.98317,32.634833,false,Single Family,4,3.5,2900,,1.481961293425033e+09
91913,-116.977279,32.632098,true,Condo,2,3,1209,318000,1.481961297064968e+09
91913,-116.975039,32.642547,false,,3,2.5,1803,,1.481961300673418e+09
91916,-116.603416,32.857221,false,Single Family,3,2,1320,,1.481961683318504e+09
91916,-116.616274,32.857322,false,Single Family,2,1,1056,,1.481961308097394e+09
91916,-116.622844,32.854335,false,Single Family,2,1.5,1237,,1.481961311797357e+09
91916,-116.634537,32.865536,false,Single Family,4,2,2786,,1.481961315494891e+09
91916,-116.62252,32.865764,true,Single Family,2,2,833,324500,1.481961323620505e+09
91916,-116.60666,32.858505,true,,0.78,0,0,54000,1.481961327353505e+09
91916,-116.595396,32.869501,true,Single Family,4,3,4260,1.399e+06,1.481961331076881e+09
91916,-116.640742,32.953601,false,,47,0,0,299900,1.481961334783528e+09
91915,-116.94709,32.625103,true,Single Family,4,4,2927,629000,1.482048028852603e+09
91915,-116.958463,32.625452,true,,3,3,1682,429000,1.482045205886278e+09
91915,-116.958463,32.625452,false,Condo,3,2.5,1682,,1.482045209904403e+09
91915,-116.96066,32.615121,false,Condo,2,3,1475,388000,1.482045226025829e+09
91915,-116.958463,32.625452,true,Single Family,4,3,2075,499900,1.482045248742132e+09
91915,-116.956034,32.642902,true,Single Family,3,3,1395,445000,1.482045193676805e+09
91915,-116.96066,32.615121,false,Single Family,4,4,2248,525000,1.482045197750259e+09
91915,-116.950213,32.644945,true,Single Family,4,3,2038,589999,1.482045201880579e+09
91915,-116.96066,32.615121,false,Condo,3,3,1430,378000,1.482045230167555e+09
91915,-116.961441,32.623244,true,Condo,2,3,1464,375000,1.482045252869415e+09
91915,-116.969064,32.63695,true,Condo,2,3,1180,350000,1.482045244671349e+09
91915,-116.96427,32.631932,true,Condo,3,3,1259,389000,1.482045256973629e+09
91915,-116.969424,32.637469,true,Condo,2,3,1180,337000,1.482045261074826e+09
91915,-116.953597,32.619726,true,Single Family,5,3,2620,649900,1.482045265194391e+09
91915,-116.949996,32.644423,true,Single Family,3,3,1700,508000,1.482045269177959e+09
91915,-116.962699,32.630504,true,Single Family,3,2,1926,355000,1.482045273367931e+09
91915,-116.956375,32.634017,false,Single Family,5,3,2578,,1.481961414418809e+09
91915,-116.946899,32.638014,false,,4,3,2950,,1.481961418094926e+09
91915,-116.961471,32.623244,false,,3,3.5,1581,,1.481961421814464e+09
91915,-116.964698,32.643955,false,,4,2.5,1544,,1.481961425661296e+09
91915,-116.961381,32.639784,true,Single Family,3,3,1931,450000,1.481961429382915e+09
91915,-116.964634,32.644775,false,,3,2.5,1890,,1.481961433090134e+09
91915,-116.96066,32.615121,false,Condo,2,3,1288,355000,1.48204522195512e+09
91915,-116.96066,32.615121,false,Single Family,3,4,1915,499000,1.482045277631e+09
91915,-116.96066,32.615121,false,Single Family,2,3,1775,474000,1.482045289939511e+09
91977,-116.974779,32.729183,true,Single Family,3,2,1183,359000,1.482037819974256e+09
91917,-116.691756,32.622805,true,Mobile / Manufactured,3,2,1224,119900,1.482037381485513e+09
91917,-116.7447,32.621699,false,,10.05,0,0,120000,1.482037385596699e+09
91917,-116.73473,32.616619,false,,10.05,0,0,120000,1.482037389702096e+09
91917,-116.752098,32.621764,false,,10,0,0,175000,1.482037393784458e+09
91935,-116.801251,32.682498,false,,10,0,0,249000,1.482047369500609e+09
91980,-116.628959,32.599739,true,Single Family,2,2,1624,450000,1.482049445170039e+09
91963,-116.638402,32.637211,false,,9.13,0,0,525000,1.48203740892298e+09
91980,-116.617828,32.590398,true,Multi Family,5,2,2792,110000,1.482049449281062e+09
91980,-116.617828,32.590398,true,Multi Family,4,2,1800,90000,1.482049453381617e+09
91935,-116.702197,32.648699,false,Single Family,3,2,1914,,1.482037433863576e+09
91963,-116.637882,32.63895,true,Single Family,3,3,2440,395000,1.482037425526799e+09
91935,-116.703187,32.676577,false,Single Family,5,5,3531,532000,1.482047446379743e+09
91932,-117.115007,32.574014,true,Single Family,3,2,895,499900,1.482048264540977e+09
91932,-117.132396,32.570908,true,Condo,2,2,1321,899900,1.482048274931538e+09
91932,-117.117715,32.585198,true,Single Family,2,1,1000,325000,1.482048278871875e+09
91932,-117.128479,32.581932,true,Single Family,2,2,1212,484000,1.482048282835491e+09
91932,-117.110244,32.585758,true,Condo,1,1,610,219900,1.482048286807379e+09
91932,-117.132336,32.580606,true,Single Family,4,5,4200,4.9e+06,1.482048298795029e+09
91932,-117.128431,32.584525,true,,0,0,0,465000,1.482048307470252e+09
91932,-117.108673,32.57309,true,Single Family,3,2,1493,559900,1.482048294796949e+09
91932,-117.132513,32.580651,false,Single Family,4,4,4200,4.9e+06,1.482048311790303e+09
91932,-117.122822,32.575268,true,Single Family,4,3,3061,899000,1.482048302776172e+09
91932,-117.118129,32.580084,false,,0,0,0,370000,1.482048315765687e+09
91932,-117.121867,32.576386,false,Single Family,2,3,2024,,1.482048335770327e+09
91932,-117.128077,32.579352,true,Single Family,2,1,936,575000,1.48204836566468e+09
91932,-117.132407,32.583751,true,Townhouse,2,2,1150,850000,1.482048319685588e+09
91932,-117.110973,32.577674,false,Condo,3,1,966,,1.482048377727059e+09
91932,-117.102524,32.570678,false,Multi Family,3,2,1288,,1.482048327553143e+09
91932,-117.118993,32.57564,false,Single Family,3,2,2010,,1.482048331678978e+09
91932,-117.117442,32.579424,false,,3,2,1341,,1.482048339689846e+09
91932,-117.118316,32.587376,false,Multi Family,4,2.5,2036,,1.482048323649628e+09
91932,-117.116354,32.57386,false,Single Family,2,1,813,,1.482048361704774e+09
91932,-117.124874,32.577182,false,Single Family,4,2,1491,,1.482048349877923e+09
91932,-117.115188,32.570386,false,Single Family,3,2,1242,,1.482048357805355e+09
91932,-117.125811,32.585327,true,Single Family,3,2,1194,575000,1.481961630121848e+09
91932,-117.132221,32.577759,true,,3,2.5,2456,2.6e+06,1.481961633988899e+09
91932,-117.132221,32.577759,false,Single Family,2,2.5,2456,,1.481961637847625e+09
91932,-117.131539,32.579037,true,Miscellaneous,10,12,9600,2.395e+06,1.482048353837843e+09
91931,-116.53082,32.82257,true,Mobile / Manufactured,3,2,1224,109900,1.482045343588082e+09
91931,-116.565993,32.852103,true,Mobile / Manufactured,2,1,714,39900,1.482045335047066e+09
91931,-116.554273,32.848517,false,,4,3,4600,,1.482045347535341e+09
91931,-116.571427,32.852939,true,Single Family,0,1,220,89000,1.48204535159311e+09
91962,-116.527071,32.835209,false,Single Family,2,1,990,272900,1.482048738602483e+09
91962,-116.535305,32.825259,true,Single Family,2,2,1672,450000,1.482048746671249e+09
91962,-116.524535,32.836917,true,Single Family,3,2,1430,399000,1.482048750607318e+09
91962,-116.543957,32.842532,true,Condo,2,1,1100,129900,1.482048766647715e+09
91962,-116.521335,32.82748,false,,7,6,3363,,1.482048778574463e+09
91962,-116.51804,32.822305,false,Single Family,1,1,1056,,1.48204879436584e+09
91962,-116.524257,32.830061,false,,3,2,2016,,1.482048786482421e+09
91934,-116.192479,32.666708,true,Mobile / Manufactured,3,2,1344,149000,1.482049663146809e+09
91934,-116.182864,32.667125,false,,390,0,0,750000,1.482049675412729e+09
91934,-116.231316,32.646247,false,,41.43,0,0,99000,1.482049667188543e+09
91934,-116.231316,32.646247,false,Single Family,0,0,0,,1.482049671263517e+09
91934,-116.236854,32.643569,true,Mobile / Manufactured,3,1,936,155000,1.482049679373221e+09
91934,-116.18628,32.619255,false,,1,1,814,,1.482049687354129e+09
91934,-116.186718,32.618223,true,Single Family,3,1,1100,179000,1.482049691328632e+09
91934,-116.182864,32.667125,false,,4.25,0,0,44500,1.482049709528923e+09
91934,-116.234985,32.643594,true,Single Family,3,2,1344,149000,1.482049683346709e+09
91934,-116.24504,32.62951,false,,37.74,0,0,35000,1.482049695497896e+09
91934,-116.1868,32.630499,false,,37.74,0,0,35000,1.482049705604012e+09
91934,-116.24513,32.62936,false,,88.99,0,0,60000,1.482049717489726e+09
91934,-116.164742,32.616729,false,,41.43,0,0,99000,1.482049713476148e+09
91941,-117.013961,32.743155,true,Single Family,3,1,1068,439000,1.482047188049686e+09
91941,-116.999064,32.76379,true,Single Family,5,2,2175,775000,1.482047192102328e+09
91941,-117.021811,32.75725,true,Single Family,3,3,2952,749900,1.482047200125019e+09
91941,-116.986839,32.757022,true,Single Family,4,3,3274,945000,1.482047196089723e+09
91941,-116.997076,32.75942,true,Single Family,3,2,1125,100000,1.482047204116658e+09
91941,-117.020603,32.761891,true,Single Family,2,2,1350,599000,1.482047220376356e+09
91941,-117.039853,32.753928,true,Single Family,4,3,2155,579000,1.482047228677971e+09
91941,-117.025783,32.755428,true,Single Family,4,2,1676,619000,1.482047236703346e+09
91941,-116.992914,32.770957,true,Single Family,3,2,2836,829000,1.482047208155123e+09
91941,-117.04761,32.746442,true,Single Family,4,2,1536,520000,1.482047212222894e+09
91941,-117.031276,32.770719,true,Condo,2,2,1184,324900,1.482047245853863e+09
91941,-116.980787,32.767775,true,Single Family,2,2,1662,849000,1.482047232678713e+09
91941,-117.048943,32.751506,true,Single Family,3,2,1591,540000,1.482047224412416e+09
91941,-116.960973,32.760182,true,Single Family,3,1.5,1437,549000,1.482047249929002e+09
91941,-116.969968,32.773012,true,Single Family,5,6,7480,2.199777e+06,1.482047286349009e+09
91941,-117.026724,32.759408,true,Single Family,2,2,1464,449900,1.482047253961376e+09
91941,-117.0414,32.749817,false,,3,2,1349,,1.482047270086969e+09
91941,-116.951174,32.75226,false,Single Family,4,3,3220,,1.481961822380577e+09
91941,-117.002166,32.755101,false,,0.95,0,0,425000,1.482047262117084e+09
91941,-117.042385,32.749902,true,Single Family,4,2,1861,525000,1.482047282126045e+09
91941,-117.024208,32.762148,true,Single Family,4,3,1994,599000,1.482047258106918e+09
91941,-117.046264,32.753023,true,Single Family,2,2,1082,459900,1.48204726607203e+09
91941,-117.001707,32.775002,true,Single Family,3,3,1922,729000,1.482047274109266e+09
91941,-117.014892,32.766976,true,Single Family,2,2,1091,599000,1.482047278146876e+09
91941,-117.00427,32.75912,false,,0.29,0,0,250000,1.48204729038651e+09
91941,-117.003936,32.761074,false,Single Family,2,1,591,,1.481961857952157e+09
91935,-116.88863,32.71879,true,Single Family,5,3,3905,549000,1.482047334681619e+09
